miasto,lat,lon,kraj,iso,region,kontynent
Cairo,30.0444,31.2358,Egypt,EGY,Al Qāhirah,Africa
Lagos,6.455,3.3841,Nigeria,NGA,Lagos,Africa
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),COD,Kinshasa,Africa
Luanda,-8.8383,13.2344,Angola,AGO,Luanda,Africa
Johannesburg,-26.2044,28.0456,South Africa,ZAF,Gauteng,Africa
Dar es Salaam,-6.8161,39.2803,Tanzania,TZA,Dar es Salaam,Africa
Khartoum,15.6,32.5,Sudan,SDN,Khartoum,Africa
Douala,4.05,9.7,Cameroon,CMR,Littoral,Africa
Giza,29.987,31.2118,Egypt,EGY,Al Jīzah,Africa
Nairobi,-1.2864,36.8172,Kenya,KEN,Nairobi City,Africa
Abidjan,5.3167,-4.0333,Côte d’Ivoire,CIV,Abidjan,Africa
Alexandria,31.1975,29.8925,Egypt,EGY,Al Iskandarīyah,Africa
Cape Town,-33.9253,18.4239,South Africa,ZAF,Western Cape,Africa
Bamako,12.6392,-8.0028,Mali,MLI,Bamako,Africa
Abuja,9.0667,7.4833,Nigeria,NGA,Federal Capital Territory,Africa
Ibadan,7.3964,3.9167,Nigeria,NGA,Oyo,Africa
Casablanca,33.5333,-7.5833,Morocco,MAR,Casablanca-Settat,Africa
Kumasi,6.7,-1.625,Ghana,GHA,Ashanti,Africa
Algiers,36.7539,3.0589,Algeria,DZA,Alger,Africa
Boankra,6.6944,-1.4028,Ghana,GHA,Ashanti,Africa
Addis Ababa,9.03,38.74,Ethiopia,ETH,Ādīs Ābeba,Africa
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),COD,Kasaï Oriental,Africa
Omdurman,15.65,32.4833,Sudan,SDN,Khartoum,Africa
Mogadishu,2.0392,45.3419,Somalia,SOM,Banaadir,Africa
Lusaka,-15.4167,28.2833,Zambia,ZMB,Lusaka,Africa
Ouagadougou,12.3686,-1.5275,Burkina Faso,BFA,Centre,Africa
Yaounde,3.8667,11.5167,Cameroon,CMR,Centre,Africa
Accra,5.55,-0.2,Ghana,GHA,Greater Accra,Africa
Antananarivo,-18.91,47.525,Madagascar,MDG,Antananarivo,Africa
Awka,6.2069,7.0678,Nigeria,NGA,Anambra,Africa
Harare,-17.8292,31.0522,Zimbabwe,ZWE,Harare,Africa
Kano,12,8.5167,Nigeria,NGA,Kano,Africa
Bamenda,5.9614,10.1517,Cameroon,CMR,North-West,Africa
Kananga,-5.897,22.4488,Congo (Kinshasa),COD,Kasaï Central,Africa
Blantyre,-15.7861,35.0058,Malawi,MWI,Blantyre,Africa
Port Harcourt,4.8242,7.0336,Nigeria,NGA,Rivers,Africa
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),COD,Haut-Katanga,Africa
Brazzaville,-4.2694,15.2711,Congo (Brazzaville),COG,Brazzaville,Africa
Kampala,0.3136,32.5811,Uganda,UGA,Kampala,Africa
Conakry,9.5092,-13.7122,Guinea,GIN,Conakry,Africa
Masvingo,-20.0744,30.8328,Zimbabwe,ZWE,Masvingo,Africa
Balandougou,13.3558,-9.5517,Mali,MLI,Kayes,Africa
Yopougon,5.3167,-4.0667,Côte d’Ivoire,CIV,Abidjan,Africa
Kigali,-1.9439,30.0594,Rwanda,RWA,Kigali,Africa
Nneyi-Umuleri,6.3333,6.8333,Nigeria,NGA,Anambra,Africa
Katako-Kombe,-3.4,24.42,Congo (Kinshasa),COD,Sankuru,Africa
Onitsha,6.1667,6.7833,Nigeria,NGA,Anambra,Africa
Kismaayo,-0.3581,42.5453,Somalia,SOM,Jubbada Hoose,Africa
Dakar,14.6928,-17.4467,Senegal,SEN,Dakar,Africa
Cacuaco,-8.8053,13.2444,Angola,AGO,Luanda,Africa
Soweto,-26.2678,27.8585,South Africa,ZAF,Gauteng,Africa
Mombasa,-4.05,39.6667,Kenya,KEN,Mombasa,Africa
Hargeysa,9.5631,44.0675,Somalia,SOM,Woqooyi Galbeed,Africa
Baidoa,3.1167,43.65,Somalia,SOM,Bay,Africa
Maiduguri,11.8333,13.15,Nigeria,NGA,Borno,Africa
Mbandaka,0.0478,18.2558,Congo (Kinshasa),COD,Équateur,Africa
Tripoli,32.8872,13.1914,Libya,LBY,Ţarābulus,Africa
Pikine,14.75,-17.4,Senegal,SEN,Dakar,Africa
Aba,5.1167,7.3667,Nigeria,NGA,Abia,Africa
Benin City,6.3333,5.6222,Nigeria,NGA,Edo,Africa
Bujumbura,-3.3833,29.3667,Burundi,BDI,Bujumbura Mairie,Africa
Maputo,-25.9667,32.5833,Mozambique,MOZ,Maputo,Africa
Bukavu,-2.5,28.8667,Congo (Kinshasa),COD,Sud-Kivu,Africa
Shagamu,6.8333,3.65,Nigeria,NGA,Ogun,Africa
Fes,34.0433,-5.0033,Morocco,MAR,Fès-Meknès,Africa
Mwanza,-2.5167,32.9,Tanzania,TZA,Mwanza,Africa
Ikare,7.5167,5.75,Nigeria,NGA,Ondo,Africa
Tamale,9.4075,-0.8533,Ghana,GHA,Northern,Africa
N'Djamena,12.11,15.05,Chad,TCD,N’Djamena,Africa
Ubungo,-6.7889,39.2056,Tanzania,TZA,Dar es Salaam,Africa
Nouakchott,18.0858,-15.9785,Mauritania,MRT,Nouakchott Ouest,Africa
Cazenga,-8.8214,13.2911,Angola,AGO,Luanda,Africa
Kisangani,0.5167,25.2,Congo (Kinshasa),COD,Tshopo,Africa
Matola,-25.9667,32.4667,Mozambique,MOZ,Maputo,Africa
Ogbomoso,8.1333,4.25,Nigeria,NGA,Oyo,Africa
Niamey,13.515,2.1175,Niger,NER,Niamey,Africa
Shubra al Khaymah,30.1286,31.2422,Egypt,EGY,Al Qalyūbīyah,Africa
Monrovia,6.3133,-10.8014,Liberia,LBR,Montserrado,Africa
Domaa-Ahenkro,7.2833,-2.8833,Ghana,GHA,Bono,Africa
Lilongwe,-13.9833,33.7833,Malawi,MWI,Lilongwe,Africa
Al Mijlad,11.0339,27.74,Sudan,SDN,West Kordofan,Africa
Gqeberha,-33.9581,25.6,South Africa,ZAF,Eastern Cape,Africa
Marrakech,31.63,-8.0089,Morocco,MAR,Marrakech-Safi,Africa
Asmara,15.3228,38.925,Eritrea,ERI,Ma’ĭkel,Africa
Freetown,8.4844,-13.2344,Sierra Leone,SLE,Western Area,Africa
Tangier,35.7767,-5.8039,Morocco,MAR,Tanger-Tétouan-Al Hoceïma,Africa
Kibanseke Premiere,-4.4419,15.395,Congo (Kinshasa),COD,Kinshasa,Africa
Khartoum North,15.6333,32.6333,Sudan,SDN,Khartoum,Africa
Mushin,6.5333,3.35,Nigeria,NGA,Lagos,Africa
Owerri,5.485,7.035,Nigeria,NGA,Imo,Africa
Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,BFA,Hauts-Bassins,Africa
Ashmun,30.2941,31.0342,Egypt,EGY,Al Minūfīyah,Africa
Bunia,1.5667,30.25,Congo (Kinshasa),COD,Ituri,Africa
Bangui,4.3733,18.5628,Central African Republic,CAF,Bangui,Africa
Abeokuta,7.1608,3.3483,Nigeria,NGA,Ogun,Africa
Ikeja,6.6,3.35,Nigeria,NGA,Lagos,Africa
Sale,34.0333,-6.8,Morocco,MAR,Rabat-Salé-Kénitra,Africa
Akure,7.25,5.195,Nigeria,NGA,Ondo,Africa
Ilorin,8.5,4.55,Nigeria,NGA,Kwara,Africa
Pietermaritzburg,-29.6167,30.3833,South Africa,ZAF,KwaZulu-Natal,Africa
